coating_thickness_um,det_peak_voltage_mV_at_first_visible,effective_diameter_um,fraction_required,gain_model,gas_name,minimum_visible_voltage_V,sto_fraction_above_threshold_at_first_visible,sto_max_peak_voltage_mV_at_first_visible,sto_median_peak_voltage_mV_at_first_visible,threshold_v,visible_at_scan_max,wire_core_diameter_um,wire_name
0.0,,25.0,0.5,phenomenological_capped,air_dry_1atm,,,,,,False,25.0,25um_carbon_fiber
0.3,,8.6,0.5,phenomenological_capped,air_dry_1atm,,,,,,False,8.0,8um_cf_0p3um_ni
0.0,,25.0,0.5,phenomenological_capped,ar_co2_75_25_1atm,,,,,,False,25.0,25um_carbon_fiber
0.3,2.2090690499059105,8.6,0.5,phenomenological_capped,ar_co2_75_25_1atm,1500.0,0.7165,11.666520223010432,1.778611141058891,0.001,True,8.0,8um_cf_0p3um_ni
