coating_thickness_um,det_attachment_survival_fraction,det_avalanche_charge_c,det_avalanche_charge_fC,det_collected_primary_electrons_mean,det_collection_fraction_total,det_created_primary_electrons_mean,det_drift_time_ns,det_drift_time_s,det_gas_gain_mean,det_peak_current_a,det_peak_current_nA,det_peak_voltage_mV,det_peak_voltage_v,diethorn_apply_gain_cap,diethorn_delta_v,diethorn_e_min_over_p_v_per_cm_torr,direct_peak_voltage_mV,direct_peak_voltage_v,effective_diameter_um,gain_model,gas_name,muon_closest_approach_mm,sto_fraction_above_threshold,sto_max_peak_voltage_mV,sto_max_peak_voltage_v,sto_mean_gas_gain,sto_mean_peak_voltage_mV,sto_mean_peak_voltage_v,sto_mean_primary_electrons_collected,sto_mean_primary_electrons_created,sto_median_peak_voltage_mV,sto_median_peak_voltage_v,sto_min_peak_voltage_mV,sto_min_peak_voltage_v,sto_n_events,threshold_mV,threshold_v,use_attachment,use_gain_surrogate,wire_core_diameter_um,wire_name,wire_voltage_V
0.0,0.7812383422209839,3.205650022883269e-17,0.03205650022883269,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.3094214010019014,1.3438554912510692e-09,1.3438554912510692,6.719277456255346e-05,6.719277456255346e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00042009724041134066,4.2009724041134064e-07,1.2673228469866904,6.493774291821746e-05,6.493774291821745e-08,152.697,279.381,5.008940610143247e-05,5.008940610143247e-08,9.856748494651913e-08,9.856748494651913e-11,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1500.0
0.0,0.7812383422209839,3.312005539674265e-17,0.033120055396742655,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.3528647553314825,1.3884412832883024e-09,1.3884412832883024,6.942206416441513e-05,6.942206416441512e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0004340350248817219,4.340350248817219e-07,1.309369475711016,6.709221616327124e-05,6.709221616327124e-08,152.697,279.381,5.175124835920969e-05,5.175124835920969e-08,1.0183770962028026e-07,1.0183770962028026e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1600.0
0.0,0.7812383422209839,3.4218896687189813e-17,0.03421889668718981,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.397749452405242,1.4345063213192679e-09,1.434506321319268,7.17253160659634e-05,7.172531606596339e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00044843523047096746,4.484352304709675e-07,1.3528111072882367,6.931816948685964e-05,6.931816948685964e-08,152.697,279.381,5.3468226421235457e-05,5.346822642123546e-08,1.0521643223758413e-07,1.0521643223758413e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1700.0
0.0,0.7812383422209839,3.535419480619984e-17,0.03535419480619984,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.4441233124004715,1.4820996830570657e-09,1.4820996830570656,7.410498415285328e-05,7.410498415285328e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00046331319916485884,4.6331319916485886e-07,1.3976940244529845,7.161797442069645e-05,7.161797442069645e-08,152.697,279.381,5.5242169556741515e-05,5.524216955674151e-08,1.0870725249109023e-07,1.0870725249109024e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1800.0
0.0,0.7812383422209839,3.652715930092063e-17,0.03652715930092063,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.4920357420493369,1.5312720744915896e-09,1.5312720744915895,7.656360372457949e-05,7.656360372457948e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00047868478195821335,4.786847819582134e-07,1.4440660454862368,7.399408117803559e-05,7.399408117803559e-08,152.697,279.381,5.70749677255755e-05,5.7074967725575496e-08,1.1231388950233213e-07,1.1231388950233213e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1900.0
0.0,0.7812383422209839,3.7739039848274424e-17,0.037739039848274425,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.5415377872768343,1.5820758839117127e-09,1.5820758839117128,7.910379419558564e-05,7.910379419558564e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0004945663557425408,4.945663557425408e-07,1.4919765751609255,7.64490212641297e-05,7.64490212641297e-08,152.697,279.381,5.8968573591765246e-05,5.8968573591765245e-08,1.1604018578407143e-07,1.1604018578407144e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,2000.0
0.0,0.7812383422209839,3.8359975465463335e-17,0.03835997546546333,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.566901329147827,1.608106415408166e-09,1.6081064154081661,8.04053207704083e-05,8.04053207704083e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.000502703655116836,5.027036551168359e-07,1.5165246664545453,7.770686779104126e-05,7.770686779104127e-08,152.697,279.381,5.993880727511177e-05,5.993880727511177e-08,1.1794944168110093e-07,1.1794944168110093e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,2050.0
0.0,0.7812383422209839,3.8991127586364165e-17,0.038991127586364166,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.592682187585142,1.6345652377197939e-09,1.634565237719794,8.17282618859897e-05,8.17282618859897e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0005109748407539918,5.109748407539918e-07,1.541476657377819,7.89854101732969e-05,7.89854101732969e-08,152.697,279.381,6.092500460388777e-05,6.092500460388777e-08,1.1989011133411257e-07,1.1989011133411257e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,2100.0
0.0,0.7812383422209839,3.9632664307225863e-17,0.03963266430722586,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.6188872288662648,1.661459397687817e-09,1.661459397687817,8.307296988439084e-05,8.307296988439084e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0005193821155385965,5.193821155385965e-07,1.5668391934539647,8.028498892813688e-05,8.028498892813688e-08,152.697,279.381,6.192742823437879e-05,6.19274282343788e-08,1.2186271160628135e-07,1.2186271160628136e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,2150.0
0.0,0.7812383422209839,4.0284756490052646e-17,0.04028475649005265,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.6455234322423105,1.6887960580979724e-09,1.6887960580979724,8.443980290489862e-05,8.443980290489863e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0005279277186001854,5.279277186001854e-07,1.592619029547695,8.160595017546902e-05,8.160595017546902e-08,152.697,279.381,6.294634514446001e-05,6.294634514446001e-08,1.2386776786494032e-07,1.2386776786494031e-10,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,2200.0
