coating_thickness_um,det_attachment_survival_fraction,det_avalanche_charge_c,det_avalanche_charge_fC,det_collected_primary_electrons_mean,det_collection_fraction_total,det_created_primary_electrons_mean,det_drift_time_ns,det_drift_time_s,det_gas_gain_mean,det_peak_current_a,det_peak_current_nA,det_peak_voltage_mV,det_peak_voltage_v,diethorn_apply_gain_cap,diethorn_delta_v,diethorn_e_min_over_p_v_per_cm_torr,direct_peak_voltage_mV,direct_peak_voltage_v,effective_diameter_um,gain_model,gas_name,muon_closest_approach_mm,sto_fraction_above_threshold,sto_max_peak_voltage_mV,sto_max_peak_voltage_v,sto_mean_gas_gain,sto_mean_peak_voltage_mV,sto_mean_peak_voltage_v,sto_mean_primary_electrons_collected,sto_mean_primary_electrons_created,sto_median_peak_voltage_mV,sto_median_peak_voltage_v,sto_min_peak_voltage_mV,sto_min_peak_voltage_v,sto_n_events,threshold_mV,threshold_v,use_attachment,use_gain_surrogate,wire_core_diameter_um,wire_name,wire_voltage_V
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,0.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,200.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,400.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,600.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,800.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1000.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1100.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1200.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1300.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1400.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1500.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1600.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1700.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1800.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1900.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,diethorn_like,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,2000.0
