voltage_v,gas_key,gas_label,wire_key,wire_label,source_key,source_label,wire_diameter_um,wire_radius_cm,outer_radius_cm,ln_b_over_a,surface_field_v_per_cm,surface_field_kv_per_cm,primary_electrons,survival_factor,gain_model,v0_v,gain,collected_charge_c,collected_charge_pc,pulse_width_ns,termination_ohm,peak_voltage_v,peak_voltage_mv,visible_threshold_mv,reliable_threshold_mv,visibility_class,air_corona_onset_estimate_v,air_corona_region_flag,notes
200,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,26704.656055626725,26.704656055626725,121.0,0.95,diethorn_like_surrogate,284.59456598762915,1.0,1.8414989999999998e-17,1.841499e-05,10.0,50.0,9.207494999999999e-08,9.207494999999998e-05,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
300,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,101900.60886205258,101.90060886205258,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,False,air direct-primary estimate only; below rough corona-onset estimate
300,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,101900.60886205258,101.90060886205258,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,1400.0,False,air direct-primary estimate only; below rough corona-onset estimate
300,air,air,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,40056.98408344009,40.05698408344009,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
300,air,air,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,40056.98408344009,40.05698408344009,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
300,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,101900.60886205258,101.90060886205258,130.0,0.95,diethorn_like_surrogate,111.87371819762815,2.284426584977665,4.51966946558076e-17,4.51966946558076e-05,10.0,50.0,2.2598347327903803e-07,0.00022598347327903802,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
300,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,101900.60886205258,101.90060886205258,121.0,0.95,diethorn_like_surrogate,111.87371819762815,2.284426584977665,4.206769271809784e-17,4.2067692718097845e-05,10.0,50.0,2.1033846359048922e-07,0.00021033846359048923,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
300,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,40056.98408344009,40.05698408344009,130.0,0.95,diethorn_like_surrogate,284.59456598762915,1.053665632817311,2.0846458445600654e-17,2.0846458445600655e-05,10.0,50.0,1.0423229222800327e-07,0.00010423229222800327,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
300,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,40056.98408344009,40.05698408344009,121.0,0.95,diethorn_like_surrogate,284.59456598762915,1.053665632817311,1.9403242091674453e-17,1.9403242091674453e-05,10.0,50.0,9.701621045837227e-08,9.701621045837227e-05,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
400,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,135867.47848273677,135.86747848273677,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,False,air direct-primary estimate only; below rough corona-onset estimate
