voltage_v,gas_key,gas_label,wire_key,wire_label,source_key,source_label,wire_diameter_um,wire_radius_cm,outer_radius_cm,ln_b_over_a,surface_field_v_per_cm,surface_field_kv_per_cm,primary_electrons,survival_factor,gain_model,v0_v,gain,collected_charge_c,collected_charge_pc,pulse_width_ns,termination_ohm,peak_voltage_v,peak_voltage_mv,visible_threshold_mv,reliable_threshold_mv,visibility_class,air_corona_onset_estimate_v,air_corona_region_flag,notes
1425,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,484027.8920947497,484.02789209474975,130.0,0.95,diethorn_like_surrogate,111.87371819762815,24897.047709126426,4.925806198107536e-13,0.4925806198107536,10.0,50.0,0.002462903099053768,2.462903099053768,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1425,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,484027.8920947497,484.02789209474975,121.0,0.95,diethorn_like_surrogate,111.87371819762815,24897.047709126426,4.58478884593086e-13,0.45847888459308606,10.0,50.0,0.00229239442296543,2.29239442296543,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1425,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,190270.67439634042,190.2706743963404,130.0,0.95,diethorn_like_surrogate,284.59456598762915,1973.3320256149243,3.904178212718359e-14,0.039041782127183594,10.0,50.0,0.00019520891063591796,0.19520891063591794,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1425,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,190270.67439634042,190.2706743963404,121.0,0.95,diethorn_like_surrogate,284.59456598762915,1973.3320256149243,3.633888951837857e-14,0.036338889518378575,10.0,50.0,0.00018169444759189287,0.18169444759189288,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1450,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,492519.6094999208,492.5196094999208,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1450,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,492519.6094999208,492.5196094999208,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1450,air,air,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,193608.75640329375,193.60875640329374,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
1450,air,air,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,193608.75640329375,193.60875640329374,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
1450,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,492519.6094999208,492.5196094999208,130.0,0.95,diethorn_like_surrogate,111.87371819762815,31904.17710981852,6.312145728646265e-13,0.6312145728646265,10.0,50.0,0.0031560728643231324,3.156072864323132,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1450,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,492519.6094999208,492.5196094999208,121.0,0.95,diethorn_like_surrogate,111.87371819762815,31904.17710981852,5.875151024355369e-13,0.5875151024355368,10.0,50.0,0.0029375755121776844,2.9375755121776845,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1450,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,193608.75640329375,193.60875640329374,130.0,0.95,diethorn_like_surrogate,284.59456598762915,2450.2569663776676,4.847759900269224e-14,0.04847759900269224,10.0,50.0,0.0002423879950134612,0.2423879950134612,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1450,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,193608.75640329375,193.60875640329374,121.0,0.95,diethorn_like_surrogate,284.59456598762915,2450.2569663776676,4.512145753327508e-14,0.04512145753327508,10.0,50.0,0.00022560728766637538,0.2256072876663754,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1475,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,501011.3269050918,501.01132690509183,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1475,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,501011.3269050918,501.01132690509183,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
